CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
154;MT;70813;B;6;0;;3.26787;0.84794;0.13879;Cinza;136;
12;CH;70814;B;8;0;;1.44901;0.49263;0.13012;Branco;134;
62;CN;70820;C;15;0;;2.28412;1.40218;0.12359;Rosa;124;
62;CN;70820;C;15;0;;2.28412;1.40218;0.12359;Amarelo;122;
61;CN;70820;C;15;0;;2.28412;1.40218;0.12359;Azul;121;
59;CN;70820;C;15;0;;2.28412;1.40218;0.12359;Branco;123;
50;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Branco;123;
51;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Amarelo;122;
51;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Azul;121;
49;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Rosa;124;
41;CH;70836;B;5;0;;1.13678;-0.62198;0.14589;Amarelo;118;
41;CH;70836;B;5;0;;1.13678;-0.62198;0.14589;Rosa;120;
37;CH;70836;B;5;0;;1.13678;-0.62198;0.14589;Branco;119;
38;CH;70836;B;5;0;;1.13678;-0.62198;0.14589;Azul;117;
83;CN;70890;C;30;0;;2.30176;0.30422;0.21404;Branco;133;
69;CN;70904;E;30;0;;2.21866;0.02999;0.23994;Azul;121;
73;CN;70904;E;30;0;;2.21866;0.02999;0.23994;Amarelo;122;
72;CN;70904;E;30;0;;2.21866;0.02999;0.23994;Rosa;124;
72;CN;70904;E;30;0;;2.21866;0.02999;0.23994;Branco;123;
79;CN;70933;B;8;0;;1.97356;0.37435;0.16375;Rosa;124;
78;CN;70933;B;8;0;;1.97356;0.37435;0.16375;Branco;123;
79;CN;70933;B;8;0;;1.97356;0.37435;0.16375;Azul;121;
75;CN;70933;B;8;0;;1.97356;0.37435;0.16375;Amarelo;122;
119;LC;70943;B;19;0;;3.69471;0.75472;0.17644;Cinza;126;
121;LC;70943;B;19;0;;3.69471;0.75472;0.17644;Azul;127;
116;LC;70943;B;19;0;;3.69471;0.75472;0.17644;Amarelo;125;
119;LC;70943;B;19;0;;3.69471;0.75472;0.17644;Rosa;128;
67;CN;70951;C;16;0;;3.76009;1.14083;0.21255;Branco;133;
38;CH;70963;D;3;0;;2.72822;0.06651;0.23511;Branco;119;
36;CH;70963;D;3;0;;2.72822;0.06651;0.23511;Azul;117;
37;CH;70963;D;3;0;;2.72822;0.06651;0.23511;Rosa;120;
34;CH;70963;D;3;0;;2.72822;0.06651;0.23511;Amarelo;118;
21;CH;70972;E;18;0;;2.44399;2.68704;0.15164;Branco;134;
41;CH;70979;D;11;0;;3.05032;0.78062;0.23071;Azul;117;
36;CH;70979;D;11;0;;3.05032;0.78062;0.23071;Branco;119;
38;CH;70979;D;11;0;;3.05032;0.78062;0.23071;Amarelo;118;
39;CH;70979;D;11;0;;3.05032;0.78062;0.23071;Rosa;120;
30;CH;71065;C;1;0;;0.91576;0.60622;0.06534;Branco;119;
26;CH;71065;C;1;0;;0.91576;0.60622;0.06534;Amarelo;118;
31;CH;71065;C;1;0;;0.91576;0.60622;0.06534;Rosa;120;
29;CH;71065;C;1;0;;0.91576;0.60622;0.06534;Azul;117;
180;MT;71071;B;15;0;;2.27001;1.09949;0.1938;Cinza;136;
166;MT;71077;B;24;0;;1.68055;1.89888;0.19921;Cinza;136;
16;CH;71110;C;7;0;;1.25175;2.1185;0.1419;Branco;134;
168;MT;71127;C;29;0;;2.06737;1.89008;0.24604;Cinza;130;
165;MT;71127;C;29;0;;2.06737;1.89008;0.24604;Rosa;132;
168;MT;71127;C;29;0;;2.06737;1.89008;0.24604;Azul;131;
167;MT;71127;C;29;0;;2.06737;1.89008;0.24604;Amarelo;129;
1;CH;71129;A;26;0;;1.17372;0.20972;0.03152;Branco;134;
168;MT;71130;C;12;0;;2.08886;2.57501;0.18102;Amarelo;129;
166;MT;71130;C;12;0;;2.08886;2.57501;0.18102;Rosa;132;
167;MT;71130;C;12;0;;2.08886;2.57501;0.18102;Azul;131;
169;MT;71130;C;12;0;;2.08886;2.57501;0.18102;Cinza;130;
30;CH;71136;B;14;0;;2.4248;1.04526;0.11798;Azul;117;
31;CH;71136;B;14;0;;2.4248;1.04526;0.11798;Branco;119;
28;CH;71136;B;14;0;;2.4248;1.04526;0.11798;Rosa;120;
33;CH;71136;B;14;0;;2.4248;1.04526;0.11798;Amarelo;118;
13;CH;71139;E;26;0;;1.79484;0.39595;0.44445;Rosa;120;
8;CH;71139;E;26;0;;1.79484;0.39595;0.44445;Azul;117;
13;CH;71139;E;26;0;;1.79484;0.39595;0.44445;Amarelo;118;
7;CH;71139;E;26;0;;1.79484;0.39595;0.44445;Branco;119;
73;CN;71172;D;5;0;;0.64224;1.3984;0.1161;Branco;123;
74;CN;71172;D;5;0;;0.64224;1.3984;0.1161;Amarelo;122;
73;CN;71172;D;5;0;;0.64224;1.3984;0.1161;Rosa;124;
70;CN;71172;D;5;0;;0.64224;1.3984;0.1161;Azul;121;
85;CN;71182;A;1;0;;1.46647;1.19762;0.13775;Branco;123;
84;CN;71182;A;1;0;;1.46647;1.19762;0.13775;Azul;121;
82;CN;71182;A;1;0;;1.46647;1.19762;0.13775;Rosa;124;
84;CN;71182;A;1;0;;1.46647;1.19762;0.13775;Amarelo;122;
163;MT;71187;E;30;0;;1.63381;2.36775;0.09676;Cinza;130;
163;MT;71187;E;30;0;;1.63381;2.36775;0.09676;Azul;131;
159;MT;71187;E;30;0;;1.63381;2.36775;0.09676;Rosa;132;
159;MT;71187;E;30;0;;1.63381;2.36775;0.09676;Amarelo;129;
14;CH;71193;D;24;0;;1.35946;0.66113;0.11357;Branco;119;
14;CH;71193;D;24;0;;1.35946;0.66113;0.11357;Azul;117;
19;CH;71193;D;24;0;;1.35946;0.66113;0.11357;Rosa;120;
18;CH;71193;D;24;0;;1.35946;0.66113;0.11357;Amarelo;118;
56;CN;71206;A;5;0;;1.84256;1.34836;0.16804;Branco;133;
179;MT;71221;A;12;0;;3.05398;1.47142;0.06279;Cinza;136;
148;MT;71238;B;27;0;;1.62432;1.82815;0.21852;Amarelo;129;
142;MT;71238;B;27;0;;1.62432;1.82815;0.21852;Azul;131;
140;MT;71238;B;27;0;;1.62432;1.82815;0.21852;Rosa;132;
145;MT;71238;B;27;0;;1.62432;1.82815;0.21852;Cinza;130;
46;CN;71251;A;17;0;;3.5329;0.4356;0.25073;Amarelo;122;
51;CN;71251;A;17;0;;3.5329;0.4356;0.25073;Rosa;124;
49;CN;71251;A;17;0;;3.5329;0.4356;0.25073;Azul;121;
46;CN;71251;A;17;0;;3.5329;0.4356;0.25073;Branco;123;
174;MT;71260;D;10;0;;1.27346;1.8163;0.09283;Cinza;136;
31;CH;71276;A;4;0;;1.33414;0.0068;0.14582;Branco;134;
52;CN;71293;D;7;0;;2.26613;1.37821;0.0622;Branco;133;
35;CH;71304;A;19;0;;2.88594;0.59913;0.36915;Azul;117;
35;CH;71304;A;19;0;;2.88594;0.59913;0.36915;Branco;119;
36;CH;71304;A;19;0;;2.88594;0.59913;0.36915;Rosa;120;
36;CH;71304;A;19;0;;2.88594;0.59913;0.36915;Amarelo;118;
21;CH;71336;E;22;0;;1.93837;1.75899;0.26629;Rosa;120;
24;CH;71336;E;22;0;;1.93837;1.75899;0.26629;Azul;117;
20;CH;71336;E;22;0;;1.93837;1.75899;0.26629;Amarelo;118;
22;CH;71336;E;22;0;;1.93837;1.75899;0.26629;Branco;119;
108;LC;71341;C;13;0;;0.8791;1.30382;0.18765;Cinza;135;
141;MT;71393;E;27;0;;1.66697;2.93754;0.06724;Cinza;136;
107;LC;71394;E;12;0;;1.52971;0.1632;0.05262;Cinza;135;
171;MT;71403;A;19;0;;5.07481;2.21367;0.15883;Cinza;136;
162;MT;71406;A;28;0;;1.59786;2.38741;0.09931;Cinza;136;
133;LC;71418;A;30;0;;1.0275;0.43957;0.00725;Amarelo;125;
134;LC;71418;A;30;0;;1.0275;0.43957;0.00725;Azul;127;
135;LC;71418;A;30;0;;1.0275;0.43957;0.00725;Rosa;128;
134;LC;71418;A;30;0;;1.0275;0.43957;0.00725;Cinza;126;
131;LC;71422;D;23;0;;1.37532;0.2041;0.06259;Cinza;135;
94;LC;71451;A;7;0;;2.08444;0.12125;0.0931;Cinza;126;1
95;LC;71451;A;7;0;;2.08444;0.12125;0.0931;Azul;127;1
95;LC;71451;A;7;0;;2.08444;0.12125;0.0931;Amarelo;125;1
94;LC;71451;A;7;0;;2.08444;0.12125;0.0931;Rosa;128;1
160;MT;71480;D;28;0;;1.70989;0.47337;0.12381;Cinza;136;
25;CH;71502;B;4;0;;2.26069;0.48852;0.20681;Rosa;120;
25;CH;71502;B;4;0;;2.26069;0.48852;0.20681;Amarelo;118;
22;CH;71502;B;4;0;;2.26069;0.48852;0.20681;Azul;117;
23;CH;71502;B;4;0;;2.26069;0.48852;0.20681;Branco;119;
137;MT;71504;A;26;0;;1.30192;0.79319;0.12714;Cinza;136;
43;CH;71513;A;12;0;;1.80144;0.33292;0.18926;Branco;134;
128;LC;71563;A;25;0;;3.2395;0.14981;0.22707;Cinza;126;
130;LC;71563;A;25;0;;3.2395;0.14981;0.22707;Azul;127;
