CO_ITEM,TP_SEXO,TX_GABARITO,answer_distribution,correct_probability
53461,F,C,[0.10719332 0.14127968 0.23958163 0.20653937 0.30151151 0.00389449],0.23958162942132538
53461,M,C,[0.1157825  0.1528721  0.2680226  0.2001339  0.25844893 0.00473997],0.2680226018959884
54528,F,E,[0.56529449 0.08984648 0.11765172 0.09715779 0.12697291 0.00307661],0.12697291258452853
54528,M,E,[0.60393525 0.08097718 0.1030368  0.08038536 0.12857774 0.00308768],0.12857774088158105
60382,F,E,[0.08204761 0.15569626 0.14293635 0.17699613 0.43786347 0.00446018],0.43786346666573817
60382,M,E,[0.08032885 0.16271272 0.14239305 0.15516117 0.45498072 0.00442349],0.45498071587701566
60441,F,E,[0.04526953 0.13549363 0.06322021 0.12399114 0.62832676 0.00369872],0.6283267613084652
60441,M,E,[0.03332976 0.11058192 0.05422179 0.07652643 0.72101789 0.00432221],0.7210178887044079
61248,F,D,[0.24497266 0.22613711 0.16590824 0.23443422 0.12469156 0.00385621],0.23443422000563813
61248,M,D,[0.23408896 0.21705185 0.17382706 0.25908896 0.11133174 0.00461143],0.2590889614910824
63204,F,E,[0.11449854 0.20895559 0.2081525  0.26228557 0.20188269 0.00422512],0.20188268500569034
63204,M,E,[0.1156419  0.16008784 0.17895801 0.26768116 0.27269027 0.00494082],0.27269026833056614
63646,F,C,[0.11338866 0.3892023  0.27472156 0.12696171 0.09294207 0.0027837 ],0.27472156451201674
63646,M,C,[0.11711961 0.36696694 0.31237478 0.10941602 0.09100077 0.00312189],0.3123747763384869
64203,F,A,[0.17093297 0.17827386 0.30025859 0.21517146 0.13123023 0.00413289],0.17093297230700696
64203,M,A,[0.15153714 0.19636201 0.29953538 0.22449788 0.12317632 0.00489128],0.15153714316319425
66576,F,A,[0.85415673 0.03905192 0.0341551  0.03829234 0.03196249 0.00238142],0.8541567332221948
66576,M,A,[0.8644703  0.03901237 0.02601762 0.03137754 0.03653795 0.00258422],0.8644703015371432
67229,F,A,[0.21739191 0.19521636 0.22782162 0.17495406 0.17908521 0.00553083],0.21739190987724064
