CO_ITEM,NSE_CLASS,TP_COR_RACA,TX_GABARITO,answer_distribution,correct_probability
10776,Very High,0,B,[0.06090026 0.66372462 0.05560459 0.13592233 0.07921447 0.00463372],0.6637246248896734
10776,Very High,1,B,[0.07586582 0.67985009 0.04774737 0.12185411 0.07117792 0.00350468],0.6798500949278818
10776,Very High,2,B,[0.08916246 0.64584075 0.05201736 0.13157333 0.07549989 0.00590621],0.6458407457482388
10776,Very High,3,B,[0.08149372 0.656936   0.05183859 0.12854673 0.07686252 0.00432246],0.6569359967890334
10776,Very High,4,B,[0.07034856 0.64953048 0.0504536  0.14642687 0.07942066 0.00381983],0.6495304790705078
10776,Very High,5,B,[0.09975062 0.59850374 0.05985037 0.1446384  0.09226933 0.00498753],0.5985037406483791
10776,Very Low,0,B,[0.11600719 0.50359712 0.08776978 0.16258993 0.125      0.00503597],0.5035971223021583
10776,Very Low,1,B,[0.10088227 0.55715776 0.07862632 0.14825918 0.11029314 0.00478133],0.5571577649179394
10776,Very Low,2,B,[0.11058534 0.51524384 0.08679588 0.15565783 0.12655301 0.00516411],0.5152438365636006
10776,Very Low,3,B,[0.11474974 0.5011166  0.09037362 0.16102065 0.12808985 0.00464954],0.5011165989223935
10776,Very Low,4,B,[0.11023102 0.52029703 0.08118812 0.16056106 0.12541254 0.00231023],0.5202970297029703
10776,Very Low,5,B,[0.14584561 0.39687684 0.1175604  0.17147908 0.16028285 0.00795522],0.3968768414849735
10992,Medium,0,A,[0.         0.33333333 0.         0.33333333 0.33333333 0.        ],0.0
10992,Medium,1,A,[0.0952381  0.41666667 0.22619048 0.19047619 0.07142857 0.        ],0.09523809523809523
10992,Medium,2,A,[0.17857143 0.32142857 0.25       0.21428571 0.03571429 0.        ],0.17857142857142858
10992,Medium,3,A,[0.13253012 0.36144578 0.25301205 0.14457831 0.10843373 0.        ],0.13253012048192772
10992,Medium,4,A,[0. 1. 0. 0. 0. 0.],0.0
10992,Very High,1,A,[0.08333333 0.5        0.25       0.08333333 0.08333333 0.        ],0.08333333333333333
10992,Very High,2,A,[0. 1. 0. 0. 0. 0.],0.0
10992,Very High,3,A,[0.    0.375 0.125 0.5   0.    0.   ],0.0
10992,Very High,4,A,[0. 0. 0. 1. 0. 0.],0.0
10992,Very Low,0,A,[0.  0.  0.5 0.  0.5 0. ],0.0
10992,Very Low,1,A,[0.         0.16666667 0.25       0.16666667 0.41666667 0.        ],0.0
10992,Very Low,2,A,[0.07142857 0.         0.42857143 0.28571429 0.21428571 0.        ],0.07142857142857142
10992,Very Low,3,A,[0.11111111 0.35185185 0.2037037  0.27777778 0.05555556 0.        ],0.1111111111111111
14797,Medium,0,D,[0.24710958 0.30185505 0.23986195 0.14374461 0.06091458 0.00651424],0.14374460742018982
14797,Medium,1,D,[0.23037072 0.30448678 0.25309188 0.14824179 0.05901698 0.00479185],0.14824179416891234
14797,Medium,2,D,[0.24250305 0.31599124 0.24321456 0.13157459 0.06144155 0.00527501],0.13157458919359885
14797,Medium,3,D,[0.24186049 0.31223514 0.24562842 0.13557872 0.05977832 0.0049189 ],0.13557872358398917
14797,Medium,4,D,[0.23747314 0.31039966 0.24288784 0.14499355 0.05981951 0.0044263 ],0.14499355393210142
14797,Medium,5,D,[0.25533345 0.32168654 0.23231984 0.124979   0.06131362 0.00436755],0.12497900218377289
14797,Very High,0,D,[0.2080759  0.25728155 0.24713151 0.2113857  0.06862312 0.00750221],0.2113857016769638
14797,Very High,1,D,[0.19646472 0.25778094 0.25152739 0.22478113 0.06387162 0.0055742 ],0.22478112599764255
14797,Very High,2,D,[0.22016651 0.28228848 0.25539031 0.16864726 0.06646268 0.00704476],0.1686472639294101
14797,Very High,3,D,[0.20993238 0.27466115 0.25212263 0.19451048 0.06181111 0.00696224],0.19451048195374973
14797,Very High,4,D,[0.17794047 0.23316887 0.24478752 0.27391374 0.06461881 0.00557059],0.27391373547668313
14797,Very High,5,D,[0.22693267 0.28678304 0.26683292 0.13216958 0.08229426 0.00498753],0.13216957605985039
14797,Very Low,0,D,[0.26169065 0.30989209 0.23291367 0.13183453 0.05881295 0.00485612],0.13183453237410073
14797,Very Low,1,D,[0.25348639 0.31608007 0.23815577 0.12848876 0.05925434 0.00453467],0.12848875818233566
14797,Very Low,2,D,[0.26252674 0.3047687  0.23633889 0.12707158 0.0641516  0.0051425 ],0.12707158445150277
14797,Very Low,3,D,[0.26010847 0.31593251 0.23211669 0.12528949 0.0623523  0.00420054],0.1252894886095094
14797,Very Low,4,D,[0.25577558 0.3140264  0.2330033  0.12986799 0.06336634 0.0039604 ],0.12986798679867986
14797,Very Low,5,D,[0.27548615 0.31555687 0.21714791 0.1199175  0.06393636 0.00795522],0.11991750147318798
16785,Medium,0,D,[0.25       0.08333333 0.08333333 0.33333333 0.16666667 0.08333333],0.3333333333333333
16785,Medium,1,D,[0.0995671  0.15151515 0.24675325 0.27272727 0.22510823 0.004329  ],0.2727272727272727
16785,Medium,2,D,[0.21153846 0.19230769 0.17307692 0.26923077 0.15384615 0.        ],0.2692307692307692
16785,Medium,3,D,[0.12457912 0.2020202  0.1986532  0.32659933 0.14141414 0.00673401],0.3265993265993266
16785,Medium,4,D,[0.1 0.3 0.1 0.2 0.3 0. ],0.2
16785,Medium,5,D,[0.4 0.4 0.2 0.  0.  0. ],0.0
16785,Very High,1,D,[0.05660377 0.16981132 0.22641509 0.32075472 0.22641509 0.        ],0.32075471698113206
16785,Very High,2,D,[0.   0.25 0.75 0.   0.   0.  ],0.0
16785,Very High,3,D,[0.0952381  0.14285714 0.33333333 0.38095238 0.04761905 0.        ],0.38095238095238093
16785,Very High,4,D,[0. 0. 0. 1. 0. 0.],1.0
16785,Very Low,0,D,[0.125 0.    0.5   0.375 0.    0.   ],0.375
16785,Very Low,1,D,[0.175 0.175 0.25  0.35  0.05  0.   ],0.35
16785,Very Low,2,D,[0.19047619 0.19047619 0.0952381  0.33333333 0.19047619 0.        ],0.3333333333333333
16785,Very Low,3,D,[0.07526882 0.2688172  0.22580645 0.2688172  0.15053763 0.01075269],0.26881720430107525
16785,Very Low,4,D,[0.         0.33333333 0.         0.66666667 0.         0.        ],0.6666666666666666
16785,Very Low,5,D,[0.33333333 0.         0.         0.66666667 0.         0.        ],0.6666666666666666
18228,Medium,0,D,[0.13334771 0.30832614 0.16691113 0.24913719 0.1391717  0.00310613],0.249137187230371
18228,Medium,1,D,[0.11053569 0.32290939 0.15919902 0.25710218 0.14810831 0.0021454 ],0.25710217654990436
18228,Medium,2,D,[0.14352922 0.31275263 0.17982249 0.21866739 0.14205713 0.00317114],0.21866738635736324
18228,Medium,3,D,[0.14417581 0.31095921 0.17441607 0.22849409 0.13960008 0.00235474],0.22849409379531727
18228,Medium,4,D,[0.13923507 0.31886549 0.17125054 0.23055436 0.13773098 0.00236356],0.23055436183927805
18228,Medium,5,D,[0.17957332 0.29396943 0.19183605 0.20813035 0.12397111 0.00251974],0.2081303544431379
18228,Very High,0,D,[0.06751986 0.31751986 0.12246249 0.36407767 0.12555163 0.00286849],0.3640776699029126
18228,Very High,1,D,[0.05692074 0.33684102 0.11444433 0.34924912 0.14064623 0.00189856],0.34924912495388577
18228,Very High,2,D,[0.0937878  0.32448587 0.14267416 0.28442325 0.15206717 0.00256173],0.28442325482103464
18228,Very High,3,D,[0.0818179  0.31955293 0.13098583 0.32193028 0.14344376 0.00226929],0.3219302849732934
18228,Very High,4,D,[0.05029445 0.33996498 0.10138469 0.37959573 0.12653191 0.00222823],0.3795957345217253
18228,Very High,5,D,[0.12468828 0.30174564 0.13965087 0.25685786 0.17705736 0.        ],0.256857855361596
