CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
16785,MT,D,[0.09090909 0.36363636 0.27272727 0.18181818 0.09090909 0.        ],0.18181818181818182
16785,PA,D,[0.11290323 0.17741935 0.14516129 0.40322581 0.16129032 0.        ],0.4032258064516129
16785,PB,D,[0.15789474 0.23684211 0.10526316 0.34210526 0.15789474 0.        ],0.34210526315789475
16785,PE,D,[0.16393443 0.18032787 0.19672131 0.21311475 0.21311475 0.03278689],0.21311475409836064
16785,PI,D,[0.1  0.45 0.25 0.15 0.   0.05],0.15
16785,PR,D,[0.04166667 0.08333333 0.29166667 0.5        0.08333333 0.        ],0.5
16785,RJ,D,[0.14545455 0.10909091 0.27272727 0.27272727 0.2        0.        ],0.2727272727272727
16785,RN,D,[0.0952381  0.19047619 0.42857143 0.23809524 0.04761905 0.        ],0.23809523809523808
16785,RO,D,[0.14285714 0.28571429 0.         0.42857143 0.14285714 0.        ],0.42857142857142855
16785,RS,D,[0.14285714 0.14285714 0.2        0.22857143 0.28571429 0.        ],0.22857142857142856
16785,SC,D,[0.05263158 0.26315789 0.21052632 0.36842105 0.05263158 0.05263158],0.3684210526315789
16785,SE,D,[0.13333333 0.33333333 0.13333333 0.2        0.2        0.        ],0.2
16785,SP,D,[0.08333333 0.19791667 0.21875    0.29166667 0.20833333 0.        ],0.2916666666666667
16785,TO,D,[0.25 0.   0.25 0.   0.5  0.  ],0.0
18228,AC,D,[0.15176261 0.30150388 0.17165265 0.23682083 0.13607697 0.00218305],0.2368208279430789
18228,AL,D,[0.14668112 0.31056816 0.17264287 0.22206471 0.14437403 0.00366911],0.2220647098065377
18228,AM,D,[0.17787735 0.3013002  0.17677781 0.19568982 0.14623821 0.00211661],0.19568982105060612
18228,AP,D,[0.15883239 0.29499833 0.17597859 0.22674808 0.1402643  0.00317832],0.2267480762796922
18228,BA,D,[0.1365776  0.32713908 0.17133289 0.22149501 0.14082547 0.00262995],0.22149500975411637
18228,CE,D,[0.16499841 0.3090755  0.17048928 0.22570133 0.12749559 0.0022399 ],0.22570133072011325
18228,DF,D,[0.10844331 0.3163725  0.14936132 0.2898447  0.12998887 0.00598929],0.28984470239041715
18228,ES,D,[0.09646826 0.32806773 0.15316809 0.25673474 0.16329202 0.00226916],0.25673474137429453
