CO_ITEM,RENDA,TX_GABARITO,answer_distribution,correct_probability
14797,M,D,[0.19441525 0.24665966 0.25213932 0.23637592 0.06395436 0.00645549],0.23637591953160186
14797,N,D,[0.18503814 0.23754049 0.25148887 0.25143663 0.06770452 0.00679135],0.2514366314909623
14797,O,D,[0.1819366  0.23930139 0.24484971 0.26463067 0.06334732 0.00593429],0.26463067496502146
14797,P,D,[0.1777349  0.22329421 0.24028515 0.28219971 0.06908935 0.00739669],0.2821997105643994
14797,Q,D,[0.17562843 0.21096221 0.2375978  0.30243882 0.06692192 0.00645081],0.30243882137506245
16785,A,D,[0.06521739 0.2173913  0.19565217 0.39130435 0.13043478 0.        ],0.391304347826087
16785,B,D,[0.12403101 0.17829457 0.2248062  0.3126615  0.15503876 0.00516796],0.31266149870801035
16785,C,D,[0.12056738 0.22695035 0.16312057 0.33333333 0.14184397 0.0141844 ],0.3333333333333333
16785,D,D,[0.16346154 0.17307692 0.25961538 0.23076923 0.17307692 0.        ],0.23076923076923078
16785,E,D,[0.12 0.18 0.18 0.3  0.22 0.  ],0.3
16785,F,D,[0.09090909 0.31818182 0.09090909 0.31818182 0.18181818 0.        ],0.3181818181818182
16785,G,D,[0.125      0.16666667 0.29166667 0.16666667 0.25       0.        ],0.16666666666666666
16785,H,D,[0.12121212 0.12121212 0.15151515 0.36363636 0.24242424 0.        ],0.36363636363636365
16785,I,D,[0.         0.13333333 0.4        0.2        0.2        0.06666667],0.2
16785,J,D,[0.   0.25 0.25 0.5  0.   0.  ],0.5
16785,K,D,[0.125 0.125 0.375 0.375 0.    0.   ],0.375
16785,L,D,[0.  0.5 0.  0.5 0.  0. ],0.5
16785,M,D,[0.   0.25 0.75 0.   0.   0.  ],0.0
16785,N,D,[0. 0. 1. 0. 0. 0.],0.0
16785,O,D,[0.  0.  0.5 0.5 0.  0. ],0.5
16785,P,D,[0.  0.2 0.6 0.  0.2 0. ],0.0
16785,Q,D,[0.25 0.   0.   0.   0.75 0.  ],0.0
18228,A,D,[0.19235939 0.30320125 0.1920945  0.17676029 0.13276889 0.00281569],0.1767602939300886
18228,B,D,[0.17034871 0.30956891 0.18745021 0.19244281 0.13746728 0.00272207],0.19244281450644818
18228,C,D,[0.1375988  0.31449756 0.17692718 0.22522713 0.14322301 0.00252631],0.22522713133986175
18228,D,D,[0.12338183 0.31864605 0.1681896  0.24423531 0.14317063 0.00237656],0.24423531452609668
18228,E,D,[0.11021529 0.32277565 0.15891597 0.26037731 0.14571139 0.00200438],0.26037731016022236
