CO_ITEM,TP_COR_RACA,TX_GABARITO,answer_distribution,correct_probability
26545,4,C,[0.2932637  0.15342712 0.162553   0.14477859 0.24201836 0.00395923],0.16255300030887598
26545,5,C,[0.28508412 0.21768568 0.10832991 0.14762002 0.23584325 0.00543701],0.10832991382847763
28034,0,A,[0.3109221  0.2908151  0.15114811 0.12454917 0.12013104 0.00243448],0.3109220966578504
28034,1,A,[0.33775688 0.31976846 0.12158131 0.10772978 0.11108249 0.00208108],0.33775688283086963
28034,2,A,[0.27170083 0.31021145 0.16024749 0.13652867 0.11889849 0.00241307],0.27170083315798665
28034,3,A,[0.28804948 0.31078032 0.15178534 0.13209591 0.11503905 0.0022499 ],0.28804948034173544
28034,4,A,[0.30862326 0.30132255 0.14101592 0.12405582 0.12259568 0.00238677],0.3086232555527476
28034,5,A,[0.25461633 0.29031596 0.18270414 0.15172343 0.11735741 0.00328272],0.2546163315551908
28632,0,C,[0.21104833 0.21492546 0.18378817 0.22168791 0.16524405 0.00330608],0.18378817023322913
28632,1,C,[0.18962669 0.23474362 0.18933246 0.20901682 0.17489879 0.00238162],0.1893324645345739
28632,2,C,[0.22272762 0.21152632 0.16915659 0.22833722 0.16546759 0.00278465],0.16915658982750362
28632,3,C,[0.21998908 0.21439238 0.16896809 0.22567179 0.1683598  0.00261886],0.1689680875728257
28632,4,C,[0.21127117 0.21202932 0.19009912 0.2166063  0.16755118 0.00244293],0.19009912110746077
28632,5,C,[0.23030365 0.19645055 0.16916291 0.23563808 0.16464916 0.00379565],0.1691629052113254
28683,0,A,[0.27665905 0.25417769 0.17696562 0.21318226 0.07495792 0.00405747],0.27665905265688867
28683,1,A,[0.27396584 0.27336096 0.16014436 0.21913428 0.07004185 0.0033527 ],0.2739658390348252
28683,2,A,[0.26217391 0.2469568  0.19418267 0.21009818 0.08227715 0.00431129],0.2621739110969839
28683,3,A,[0.26519274 0.25499902 0.1859514  0.21177352 0.07839249 0.00369083],0.2651927434815234
28683,4,A,[0.2849802  0.26341505 0.16825317 0.20458821 0.07505686 0.00370651],0.2849802038581417
28683,5,A,[0.26938859 0.24907673 0.19286007 0.19573246 0.08812064 0.0048215 ],0.2693885925318014
30053,0,C,[0.11150517 0.23226737 0.30860784 0.21714956 0.12740442 0.00306564],0.3086078384226978
30053,1,C,[0.09096247 0.22529417 0.3456329  0.21803692 0.11746462 0.00260892],0.34563289716604917
